text,annotation,spans,tag,properties.intentional,properties.iterative,properties.mental,properties.persistent,properties.representation_type,properties.unpredictable,properties.irreversible,properties.non_event_type
Effi Briest,In Front des schon seit Kurfürst Georg Wilhelm von der Familie von Briest  bewohnten Herrenhauses zu Hohen-Cremmen fiel heller Sonnenschein auf die mittagsstille Dorfstraße,"[[17, 188]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,während nach der Park- und Gartenseite hin ein rechtwinklig angebauter Seitenflügel einen breiten Schatten erst auf einen weiß und grün quadrierten Fliesengang und dann über diesen hinaus auf ein großes in seiner Mitte mit einer Sonnenuhr und an seinem Rande mit Canna indica und Rhabarberstauden besetztes Rondell warf,"[[190, 509]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,"Einige zwanzig Schritte weiter, in Richtung und Lage genau dem Seitenflügel entsprechend, lief eine, ganz in kleinblättrigem Epheu stehende, nur an einer Stelle von einer kleinen weiß gestrichenen Eisenthür  unterbrochene Kirchhofsmauer","[[511, 746]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"hinter der der Hohen-Cremmener Schindelturm mit seinem blitzenden, weil neuerdings erst wieder vergoldeten Wetterhahn aufragte","[[748, 874]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,"Fronthaus, Seitenflügel und Kirchhofsmauer bildeten ein einen kleinen Ziergarten umschließendes Hufeisen","[[876, 980]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,an dessen offener Seite man eines Teiches mit Wassersteg und angeketteltem Boot und dicht daneben einer Schaukel gewahr wurde,"[[982, 1107]]",process,['no'],['yes'],['yes'],[1],['narrator_speech'],[0],,
Effi Briest,deren horizontal gelegtes  Brett zu Häupten und Füßen an je zwei Stricken hing — die Pfosten der Balkenlage schon etwas schief stehend,"[[1109, 1242]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Zwischen Teich und Rondell aber und die Schaukel halb versteckend standen ein paar mächtige alte Platanen,"[[1244, 1349]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Auch die Front des Herrenhauses — eine mit Aloekübeln und ein paar Gartenstühlen besetzte Rampe — gewährte bei bewölktem Himmel einen angenehmen und zugleich allerlei Zerstreuung bietenden Aufenthalt,"[[1352, 1551]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,"an Tagen  aber wurde die Gartenseite ganz entschieden bevorzugt, besonders von Frau und Tochter des Hauses","[[1553, 1566], [1596, 1687]]",process,['yes'],['yes'],['yes'],[1],['narrator_speech'],[0],,
Effi Briest,wo die Sonne  niederbrannte,"[[1568, 1594]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,die denn auch heute wieder auf dem im vollen Schatten liegenden Fliesengange saßen,"[[1689, 1771]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[0],,
Effi Briest,"in ihrem Rücken ein paar offene, von wildem Wein umrankte Fenster, neben sich eine vorspringende kleine Treppe","[[1773, 1883]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,deren vier Steinstufen vom Garten aus in das Hochparterre des Seitenflügels hinaufführten,"[[1885, 1974]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,"Beide, Mutter und Tochter, waren fleißig bei der Arbeit","[[1976, 2031]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,die der Herstellung eines  aus Einzelquadraten zusammenzusetzenden Altarteppichs galt,"[[2033, 2117]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"ungezählte Wollsträhnen und Seidendocken lagen auf einem großen, runden Tisch bunt durcheinander","[[2119, 2215]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"dazwischen, noch vom Lunch her, ein paar Dessertteller und eine mit großen, schönen Stachelbeeren gefüllte Majolikaschale","[[2217, 2338]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Rasch und sicher ging die Wollnadel der Damen hin und her,"[[2340, 2397]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,aber während die Mutter kein Auge von der Arbeit ließ,"[[2399, 2452]]",process,['yes'],['no'],['yes'],[1],['narrator_speech'],[1],,
Effi Briest,legte die Tochter von Zeit zu Zeit die Nadel nieder,"[[2454, 2471], [2503, 2536]]",process,['yes'],['yes'],['no'],[2],['narrator_speech'],[2],,
Effi Briest,die den Rufnamen Effi führte,"[[2473, 2501]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"und erhob sich, um unter allerlei kunstgerechten Beugungen und Streckungen den ganzen Kursus der Heil- und Zimmergymnastik durchzumachen","[[2537, 2673]]",process,['yes'],['yes'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,Es war ersichtlich,"[[2675, 2693]]",stative_event,,,['yes'],,['narrator_speech'],[0],,
Effi Briest,daß sie sich diesen absichtlich ein wenig ins Komische gezogenen  Übungen mit ganz besonderer Liebe hingab,"[[2695, 2800]]",process,['yes'],['yes'],['yes'],[1],['narrator_speech'],[1],,
Effi Briest,und wenn sie dann so dastand,"[[2802, 2830]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"und langsam die Arme hebend, die Handflächen hoch über dem Kopf zusammenlegte","[[2831, 2908]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"so sah auch wohl die Mama von ihrer Handarbeit auf, aber immer nur flüchtig und verstohlen","[[2910, 3000]]",process,['no'],['yes'],['yes'],[1],['narrator_speech'],[1],,
Effi Briest,weil sie nicht zeigen wollte,"[[3002, 3030]]",non_event,,,,,['narrator_speech'],,,['negation']
Effi Briest,wie entzückend sie ihr eigenes Kind finde,"[[3032, 3073]]",stative_event,,,['yes'],,"['narrator_speech', 'thought_representation']",[1],,
Effi Briest,zu welcher Regung mütterlichen Stolzes  sie vollberechtigt war,"[[3075, 3136]]",stative_event,,,['no'],,"['narrator_speech', 'thought_representation']",[1],,
Effi Briest,"Effi  trug ein blau und weiß gestreiftes, halb kittelartiges Leinwandkleid","[[3138, 3211]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,"dem  erst ein fest zusammengezogener, bronzefarbener Ledergürtel die Taille gab","[[3213, 3291]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,der Hals war frei,"[[3293, 3310]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,und über Schulter und Nacken fiel ein breiter Matrosenkragen,"[[3312, 3372]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,In allem paarte sich Übermut und Grazie,"[[3374, 3382], [3398, 3428]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,was sie that,"[[3384, 3396]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"während ihre lachenden braunen Augen eine große, natürliche Klugheit und viel  Lebenslust und Herzensgüte verrieten","[[3430, 3544]]",stative_event,,,['no'],,['narrator_speech'],[2],,
Effi Briest,Man nannte sie die „Kleine,"[[3546, 3572]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
